サービス一覧へ戻る / PurchaseItemAPI

RMS WEB SERVICE : PurchaseItemAPI Message Codes Reference



1.共通

2.searchOrderItem

3.getOrderItem

共通
No.	Level	Message ID	Message	Description	HTTP Status Code
11	ERROR	ORDER_EXT_API_GET_ORDER_ERROR_010	{0}の値を指定して下さい。	{0}の値が未指定	400
12	ERROR	ORDER_EXT_API_GET_ORDER_ERROR_011	{0}の書式が不正です。	{0}の書式が不正	400
13	ERROR	ORDER_EXT_API_GET_ORDER_ERROR_013	リクエストデータの形式に不備があります。修正の上、再リクエストしてください。	JSON形式に不備がある、またはサイズ閾値以上の場合	400
14	ERROR	ORDER_EXT_API_GET_ORDER_ERROR_014	{0}には最大{1}件までの注文番号を指定して下さい。	リストに指定した注文番号が最大件数超えの場合	400
15	ERROR	ORDER_EXT_API_GET_ORDER_ERROR_016	{0}の先頭の店舗IDが不正です。	orderNumber や reserveNumber の書式が不正	400
16	ERROR	ORDER_EXT_API_GET_ORDER_ERROR_020	指定された{0}の値が不正です。	コード値、名称などが不正	400
17	ERROR	ORDER_EXT_API_GET_ORDER_ERROR_031	リクエストデータに入力できない文字が含まれています。	リクエストデータに入力不可文字が含まれている	400
18	WARNING	ORDER_EXT_API_GET_ORDER_WARNING_001	ただいま楽天処理中です。時間を置いてからもう一度お試しください。	楽天処理中	200
19	INFO	ORDER_EXT_API_GET_ORDER_INFO_101	受注情報取得に成功しました。(取得件数{0}件)	受注情報取得に成功した	200
20	INFO	ORDER_EXT_API_GET_ORDER_INFO_102	受注情報が取得できませんでした。	検索結果0件の注文番号の場合	200
21	ERROR	ORDER_EXT_API_GET_ORDER_ERROR_101	指定された注文番号の受注情報取得に失敗しました。	受注情報取得に失敗した	200
