100675011	101297
10210117051	302449
10210117051	302453
10216412051	112928
10216414051	407068
10219786051	101737
10219786051	112779
10219786051	565510
10220351051	565458
10220351051	567180
10220351051	567829
10220371051	101893
10220371051	111967
10220371051	201926
10220371051	204309
10220371051	216678
10220371051	403735
10220371051	565832
10223546051	204202
1025478	401026
10282233051	200832
10282233051	551711
10282234051	200832
10282235051	200832
10282237051	101828
10282237051	200832
10285332051	210427
10285355051	563338
10285379051	402796
10290223051	101914
10290223051	205272
10290223051	406704
10294358051	101914
10294358051	566392
10303086051	101848
10303086051	401323
10303086051	402279
10303086051	407036
10303086051	559275
10303086051	566148
10305501051	215339
10305502051	112110
10305502051	201598
10305502051	201632
10305503051	201632
10305503051	215339
10305503051	508241
10305504051	201599
10305504051	201612
10305504051	201632
10305504051	215339
10305504051	559275
10305504051	566810
10305505051	508241
10305506051	201632
10305509051	201632
10306253051	101828
10306253051	110238
10306253051	111377
10306271051	304406
10306271051	510269
10306272051	112919
10306272051	563748
10306464051	112928
10306464051	407079
10306466051	564897
10311560051	566392
10311651051	101828
10311651051	205275
10311652051	213887
10311653051	101828
10325823051	216681
10325827051	101737
10325827051	112779
10325827051	401643
10325839051	200181
10325839051	565859
10325853051	201866
10325856051	101893
10325859051	401642
10325862051	112779
10325865051	111388
10326855051	200841
10326855051	205220
10326855051	565716
10328995051	210427
10328995051	568469
10329349051	111967
10329349051	201926
10329349051	204309
10329350051	204309
10329351051	201899
10329351051	204309
10329351051	403735
10329352051	201899
10329352051	204309
10329352051	403735
10329353051	111967
10329353051	204309
10329353051	208098
10329354051	101893
10329354051	201899
10329354051	204309
10329354051	405429
10329355051	101893
10329355051	111967
10329355051	201899
10329355051	204309
10329355051	208124
10329355051	405429
10329356051	101893
10329356051	204309
10329356051	403735
10329357051	111967
10329357051	201926
10329357051	204309
10329357051	405429
10329358051	201899
10329359051	208108
10329359051	208113
10329360051	208108
10329361051	208108
10329361051	208113
10329362051	101893
10329362051	201899
10329362051	208108
10329362051	208113
10329362051	211727
10329434051	112928
10329434051	400872
10329435051	205881
10329435051	216079
10329564051	566152
10329565051	101833
10329566051	401323
10329566051	407036
10329566051	559275
10329566051	566157
10339028051	201589
10342943051	201606
10343425051	201614
10343425051	563736
10343426051	213613
10343428051	101867
10343428051	566398
10343431051	101914
10343431051	201614
10343432051	101914
10343432051	566400
10343570051	101914
10343570051	201604
10343572051	201610
10343577051	201598
10345416051	101914
10345416051	207659
10345417051	101914
10345417051	207659
10345417051	560271
10345417051	566458
10345693051	208212
10345693051	213755
10346060051	211723
10346060051	568377
10347017051	201664
10347017051	206148
10347031051	200821
10347031051	401160
10349495051	112998
10349617051	200842
10349617051	565865
10351517051	211741
10351518051	110105
10351518051	211741
10351518051	215774
10351532051	101061
10351532051	408122
10351680051	563337
10351694051	215348
10352725051	211723
10352727051	568377
10355601051	112814
10355601051	211875
10355601051	555421
10355601051	565110
10355628051	201598
10356604051	201614
10356604051	566397
10357036051	208839
10357036051	567804
10357037051	101893
10357037051	208881
10357038051	101893
10357038051	560287
10357561051	405373
10357561051	563786
10358721051	201610
10368592051	209953
10368592051	410629
10391282051	507835
10391292051	507835
10391303051	507835
10391323051	207052
10391323051	207053
10391344051	101914
10391344051	566440
10391344051	566444
10391345051	101914
10391345051	201612
10391345051	406820
10391345051	559279
10391345051	566432
10391345051	566438
10391345051	566440
10391345051	566442
10391345051	566445
10391347051	101197
10391347051	112928
10391347051	201612
10391347051	213659
10391347051	566432
10391347051	566436
10391347051	566438
10391347051	566440
10391347051	566442
10391347051	566445
10391366051	216100
10391367051	216100
10393255051	559275
10393263051	206160
10393263051	206217
10393270051	215339
10393270051	215348
10393271051	409724
10395288051	101828
10395786051	205116
10395788051	112794
10395846051	207618
10395848051	112919
10395900051	112779
10395900051	210411
10395901051	209403
10395902051	567740
10397580051	111225
10397580051	564854
10397584051	111225
10397584051	501158
10397584051	566206
10397587051	564419
10398647051	111177
10398647051	567467
1040116	408565
10404701051	304550
10404701051	304557
10407471051	101904
10407471051	112919
10413942051	200112
10413942051	301722
10420173051	567207
10420174051	567204
10420176051	560055
10420176051	560283
10420235051	112935
10420346051	300405
10420346051	406380
10421841051	101200
10421844051	112928
10421844051	213625
10421844051	406820
10421844051	566432
10421963051	101129
10421963051	112919
10421963051	209969
10421968051	565464
10421970051	502621
10421970051	565383
10424342051	101751
10424344051	101751
10424344051	211741
10430043051	301570
10430043051	501098
10430133051	567515
10430133051	568569
10430721051	409755
10430723051	201664
10430723051	204174
10432736051	566146
10432785051	112928
10432785051	501192
10432785051	564897
10435221051	216307
10435222051	216307
10435223051	216467
10435223051	405165
10435225051	550091
10435232051	565785
10435292051	203109
10435295051	101872
10435301051	101867
10435301051	215271
10435301051	400872
10435301051	401689
10435302051	216079
10435302051	401758
10441960051	200832
10441961051	567552
10442563051	401158
10445709051	566392
10445710051	208098
10445710051	566438
10445710051	566440
10445710051	566442
10445711051	101914
10445711051	201589
10445711051	566392
10445714051	566440
10445719051	551272
10445719051	566438
10445719051	566440
10445722051	201599
10445722051	566440
10445733051	101197
10445735051	566395
10456310051	208124
10457913051	101838
10457914051	101828
10457914051	111470
10457914051	200821
10459475051	100916
10462947051	211741
10465377051	501909
10465380051	402220
10465437051	101867
10465437051	204155
10468395051	101833
10468397051	566195
10468401051	301754
10468458051	568498
10468487051	200053
10469717051	101872
10469720051	100132
10469720051	101872
10469721051	301693
10469773051	205270
10469781051	101875
10469781051	101914
10469781051	216080
10469785051	111048
10469786051	568356
10472106051	100883
10472107051	215256
10472299051	213780
10473690051	564854
10479647051	565710
10479650051	206152
10479650051	206271
10479651051	215339
10479667051	112107
10479667051	201667
10479673051	206287
10479676051	565714
10479683051	206193
